Ürün,Üretim,EkildiğiAy,TohumFiyatı,Bölge,ÜretimSüresi,SatışFiyatı,EkilenAlan,DestekParası,sonuç,binarySonuc,durum
Acur,43204,Mart,3.9,Güneydoğu Anadolu,Kısa Süre,4.0,257400.0,0,-272.9,1,Kar
Biber,1234423,Şubat,4.4,Güneydoğu Anadolu,Kısa Süre,2.25,3727750.0,0,-478.9,1,Kar
Biber,371918,Mart,9.9,Ege,Kısa Süre,3.0,1229520.0,0,-1210.9,1,Kar
Biber,902203,Nisan,7.8,Marmara,Uzun Süre,4.3,2776420.0,0,-811.8,1,Kar
Biber,117125,Mayıs,9.9,Doğu Anadolu,Uzun Süre,3.0,193050.0,0,-1295.2,1,Kar
Bamya,31428,Mart,3.8,Ege,Kısa Süre,15.0,515570.0,0,766.5,1,Kar
Patlıcan,822659,Ocak,4.5,Marmara,Uzun Süre,2.0,1930670.0,0,-611.6,1,Kar
Kabak,447830,Haziran,3.49,Marmara,Uzun Süre,3.0,967160.0,0,-436.26,1,Kar
Balkabağı,92319,Mart,6.14,Ege,Uzun Süre,5.0,369500.0,0,-611.36,1,Kar
Kabak,50265,Mayıs,4.5,Marmara,Kısa Süre,4.0,7068940.0,0,-387.3,1,Kar
Kavun,1777059,Mart,3.9,Doğu Anadolu,Kısa Süre,1.5,7217580.0,0,-556.9,1,Kar
Karpuz,3870515,Mayıs,3.9,Güneydoğu Anadolu,Kısa Süre,1.0,8336570.0,0,-628.5,1,Kar
Bezelye,98200,Şubat,13.0,Akdeniz,Kısa Süre,2.5,1003050.0,0,-1640.3,1,Kar
Fasulye,596074,Mayıs,3.85,İç Anadolu,Kısa Süre,5.0,4532620.0,0,-160.2,1,Kar
Börülce,18420,Mart,7.9,Marmara,Kısa Süre,7.0,204070.0,0,-522.9,1,Kar
Bakla,40068,Eylül,14.99,İç Anadolu,Kısa Süre,5.0,425260.0,0,-1664.96,1,Kar
Fasulye,89860,Mayıs,14.9,Ege,Kısa Süre,12.0,803580.0,0,-1000.9,1,Kar
Karnabahar,234356,Haziran,19.9,Ege,Kısa Süre,2.0,910320.0,0,-2650.9,1,Kar
Brokoli,80920,Mayıs,4.4,Akdeniz,Uzun Süre,2.0,416220.0,0,-658.2,1,Kar
Lahana,567622,Mart,3.8,Doğu Anadolu,Uzun Süre,3.0,1371140.0,0,-457.8,1,Kar
Lahana,192219,Eylül,9.9,İç Anadolu,Uzun Süre,3.0,522660.0,0,-1255.2,1,Kar
Lahana,56726,Haziran,7.9,Doğu Anadolu,Uzun Süre,4.0,485020.0,0,-867.2,1,Kar
Lahana,3100,Mayıs,2.98,Doğu Anadolu,Uzun Süre,3.5,15740.0,0,-357.92,1,Kar
Marul,198491,Mart,9.9,Ege,Kısa Süre,2.0,953030.0,0,-1390.9,1,Kar
Marul,215728,Eylül,7.9,Marmara,Kısa Süre,3.0,914390.0,0,-1002.9,1,Kar
Marul,85547,Haziran,3.49,İç Anadolu,Uzun Süre,2.5,291190.0,0,-486.26,1,Kar
Enginar,39071,Mart,7.5,Ege,Uzun Süre,7.0,287320.0,0,-533.6,1,Kar
Kereviz,2169,Mart,4.5,Ege,Kısa Süre,3.0,11310.0,0,-487.3,1,Kar
Ispanak,229793,Haziran,2.98,İç Anadolu,Kısa Süre,3.0,1625890.0,0,-263.62,1,Kar
Pazı,8049,Mart,3.49,Ege,Kısa Süre,2.0,53600.0,0,-331.96,1,Kar
Semizotu,4931,Mart,3.49,Marmara,Kısa Süre,2.0,26880.0,0,-491.96,1,Kar
Maydanoz,92954,Nisan,3.49,Marmara,Kısa Süre,1.0,755620.0,0,-459.96,1,Kar
Roka,13654,Mart,3.4,İç Anadolu,Kısa Süre,2.0,123890.0,0,-347.9,1,Kar
Tere,6629,Mart,3.5,Marmara,Kısa Süre,2.0,65760.0,0,-361.3,1,Kar
Nane,16011,Mart,9.9,Marmara,Kısa Süre,1.0,126500.0,0,-1318.9,1,Kar
Dereotu,8740,Mart,14.5,Ege,Kısa Süre,2.0,104310.0,0,-1835.3,1,Kar
Kuşkonmaz,174,Mart,9.9,Güneydoğu Anadolu,Uzun Süre,4.0,499.0,0,-1055.2,1,Kar
Armut,530723,Kasım,5.0,Ege,Uzun Süre,4.8,11554.0,0,-458.6,1,Kar
Ayva,180542,Eylül,5.9,İç Anadolu,Uzun Süre,3.8,3428.0,0,-659.2,1,Kar
Elma,1029,Kasım,16.0,İç Anadolu,Uzun Süre,5.0,525.0,0,-1872.6,1,Kar
Muşmula,4790,Kasım,2.0,Marmara,Uzun Süre,5.8,246.0,0,75.4,1,Kar
Yenidünya,16170,Kasım,7.05,Akdeniz,Uzun Süre,5.0,264.0,0,-689.3,1,Kar
Erik,317946,Mayıs,1.75,Ege,Uzun Süre,5.0,8589.0,0,-3.10000000000002,1,Kar
İğde,4141,Nisan,1.5,Akdeniz,Uzun Süre,4.0,276.0,0,-49.6,1,Kar
Kayısı,846606,Ekim,3.2,Doğu Anadolu,Uzun Süre,3.0,17266.0,0,-337.4,1,Kar
Kızılcık,10269,Ağustos,1.25,Marmara,Uzun Süre,5.0,686.0,0,63.9,1,Kar
Kiraz,664224,Kasım,6.9,Marmara,Uzun Süre,8.0,21115.0,0,-321.2,1,Kar
Şeftali,830577,Nisan,3.35,Doğu Anadolu,Uzun Süre,4.0,17474.0,0,-265.5,1,Kar
Vişne,182165,Nisan,2.13,İç Anadolu,Uzun Süre,5.0,5792.0,0,1.98000000000002,1,Kar
Zerdali,17225,Mart,3.5,Akdeniz,Uzun Süre,3.0,755.0,0,-409.6,1,Kar
Zeytin,1525000,Eylül,5.99,Ege,Uzun Süre,5.0,154037.0,19,-321.26,1,Kar
Portakal,1700000,Ekim,5.99,Güneydoğu Anadolu,Uzun Süre,3.0,12985.0,0,-711.26,1,Kar
Mandalina,1400000,Mart,5.99,Akdeniz,Uzun Süre,2.5,15183.0,0,-749.26,1,Kar
Limon,950000,Mart,6.26,Akdeniz,Uzun Süre,5.0,9798.0,0,-539.44,1,Kar
Greyfurt,249185,Mart,5.54,Akdeniz,Uzun Süre,4.0,1229.0,0,-550.96,1,Kar
Turunç,2230,Mart,4.5,Akdeniz,Uzun Süre,3.0,54.0,0,-531.6,1,Kar
Antep fıstığı,85000,Kasım,32.0,Güneydoğu Anadolu,Uzun Süre,70.0,52061.0,0,2483.4,1,Kar
Badem,150000,Kasım,1.45,Ege,Uzun Süre,80.0,9522.0,0,7557.1,1,Kar
Ceviz,225000,Mart,9.99,Ege,Uzun Süre,70.0,11251.0,0,5432.74,1,Kar
Fındık,776046,Mart,1.2,Karadeniz,Uzun Süre,62.0,384935.0,21,5980.6,1,Kar
Kestane,72655,Nisan,1.95,Ege,Uzun Süre,20.0,2114.0,0,1490.1,1,Kar
Üzüm,4200000,Eylül,1.75,Ege,Uzun Süre,7.1,4169068.0,0,238.9,1,Kar
Çilek,486705,Temmuz,3.99,Marmara,Uzun Süre,8.0,160899.0,0,-11.2600000000001,1,Kar
Dut,69317,Kasım,1.25,Akdeniz,Uzun Süre,74.0,2021.0,0,7019.9,1,Kar
İncir,310000,Ocak,17.99,Ege,Uzun Süre,45.0,10052.0,0,1864.74,1,Kar
Keçiboynuzu,16256,Mart,6.99,Akdeniz,Uzun Süre,17.0,342.0,0,494.74,1,Kar
Muz,548323,Mart,5.99,Akdeniz,Uzun Süre,8.1,84879.0,0,-253.26,1,Kar
Nar,559171,Eylül,4.29,Ege,Uzun Süre,4.1,13739.0,0,-341.46,1,Kar
Trabzon Hurması,51317,Kasım,2.12,Akdeniz,Uzun Süre,60.0,1087.0,0,5471.32,1,Kar
Kivi,63798,Kasım,5.99,Karadeniz,Uzun Süre,24.0,1616.0,0,1348.74,1,Kar
Avakado,4209,Nisan,11.45,Akdeniz,Uzun Süre,7.0,73.0,0,-1102.9,1,Kar
Ahududu,5975,Mart,8.15,Marmara,Kısa Süre,8.0,6875.0,0,-488.4,1,Kar
Böğürtlen,2708,Kasım,7.29,Marmara,Kısa Süre,20.0,2956.0,0,886.84,1,Kar
Maviyemiş,443,Eylül,5.99,Karadeniz,Kısa Süre,30.0,1055.0,0,2069.04,1,Kar
Buğday,19000000,Kasım,1.3,İç Anadolu,Uzun Süre,1.5,68463271.0,27,-2.80000000000001,1,Kar
Arpa,177306,Kasım,1.9,İç Anadolu,Uzun Süre,1.75,28690715.0,27,-36.2,1,Kar
Çavdar,320000,Kasım,1.4,Doğu Anadolu,Uzun Süre,1.3,1109025.0,27,-4.19999999999999,1,Kar
Yulaf,265000,Ekim,2.0,İç Anadolu,Uzun Süre,10.0,1098227.0,27,805.4,1,Kar
Çeltik,1000000,Mayıs,1.5,Marmara,Uzun Süre,5.0,1264190.0,66,770.4,1,Kar
Aspir,21883,Mart,2.3,İç Anadolu,Kısa Süre,17.5,1585990.0,21,1535.5,1,Kar
